algorithm,n,time
linear_search,50000,9.38e-05
binary_search,50000,1.2e-06
ternary_search,50000,7e-07
fib_search,50000,1e-06
interpolation_search,50000,3e-07
linear_search,49500,6e-07
binary_search,49500,9e-07
ternary_search,49500,7e-07
fib_search,49500,5e-07
interpolation_search,49500,2e-07
linear_search,49000,4.1e-06
binary_search,49000,1.3e-06
ternary_search,49000,7e-07
fib_search,49000,7e-07
interpolation_search,49000,3e-07
linear_search,48500,0.0001409
binary_search,48500,1.1e-06
ternary_search,48500,5e-07
fib_search,48500,8e-07
interpolation_search,48500,3e-07
linear_search,48000,5.71e-05
binary_search,48000,6e-06
ternary_search,48000,3.8e-06
fib_search,48000,2.8e-06
interpolation_search,48000,1.7e-06
linear_search,47500,3.8e-05
binary_search,47500,1e-06
ternary_search,47500,6e-07
fib_search,47500,6e-07
interpolation_search,47500,2e-07
linear_search,47000,3.69e-05
binary_search,47000,9e-07
ternary_search,47000,6e-07
fib_search,47000,6e-07
interpolation_search,47000,2e-07
linear_search,46500,7.5e-06
binary_search,46500,8e-07
ternary_search,46500,5e-07
fib_search,46500,4e-07
interpolation_search,46500,3e-07
linear_search,46000,8.61e-05
binary_search,46000,2.4e-06
ternary_search,46000,1.7e-06
fib_search,46000,9e-07
interpolation_search,46000,3e-07
linear_search,45500,0.0001378
binary_search,45500,1.9e-06
ternary_search,45500,1.6e-06
fib_search,45500,1.7e-06
interpolation_search,45500,3e-07
linear_search,45000,0.0002145
binary_search,45000,3.8e-06
ternary_search,45000,2e-06
fib_search,45000,2.1e-06
interpolation_search,45000,4e-07
linear_search,44500,0.0001374
binary_search,44500,2.6e-06
ternary_search,44500,1.9e-06
fib_search,44500,1.7e-06
interpolation_search,44500,6e-07
linear_search,44000,2.48e-05
binary_search,44000,1.9e-06
ternary_search,44000,1.3e-06
fib_search,44000,1.3e-06
interpolation_search,44000,4e-07
linear_search,43500,0.0001412
binary_search,43500,1.9e-06
ternary_search,43500,1.3e-06
fib_search,43500,1.1e-06
interpolation_search,43500,5e-07
linear_search,43000,3.52e-05
binary_search,43000,1.5e-06
ternary_search,43000,1.5e-06
fib_search,43000,1.1e-06
interpolation_search,43000,8e-07
linear_search,42500,3.39e-05
binary_search,42500,4.2e-06
ternary_search,42500,1.7e-06
fib_search,42500,4.4e-06
interpolation_search,42500,5e-07
linear_search,42000,9.73e-05
binary_search,42000,3.1e-06
ternary_search,42000,3e-06
fib_search,42000,2.6e-06
interpolation_search,42000,4e-07
linear_search,41500,0.0002669
binary_search,41500,1.2e-05
ternary_search,41500,4.9e-06
fib_search,41500,4.9e-06
interpolation_search,41500,5e-07
linear_search,41000,0.0001341
binary_search,41000,1.1e-05
ternary_search,41000,4.5e-06
fib_search,41000,6.1e-06
interpolation_search,41000,3e-07
linear_search,40500,0.0001323
binary_search,40500,2.3e-06
ternary_search,40500,1.3e-06
fib_search,40500,1.1e-06
interpolation_search,40500,4e-07
linear_search,40000,2.88e-05
binary_search,40000,9.6e-06
ternary_search,40000,4.7e-06
fib_search,40000,4.1e-06
interpolation_search,40000,1.4e-06
linear_search,39500,0.0001247
binary_search,39500,1.6e-06
ternary_search,39500,1.2e-06
fib_search,39500,1e-06
interpolation_search,39500,6e-07
linear_search,39000,0.0001326
binary_search,39000,2.3e-06
ternary_search,39000,1.8e-06
fib_search,39000,1.2e-06
interpolation_search,39000,5e-07
linear_search,38500,0.0001274
binary_search,38500,2.1e-06
ternary_search,38500,7e-06
fib_search,38500,4.8e-06
interpolation_search,38500,4e-07
linear_search,38000,4.16e-05
binary_search,38000,1.7e-06
ternary_search,38000,1.2e-06
fib_search,38000,9e-07
interpolation_search,38000,5e-07
linear_search,37500,0.0001092
binary_search,37500,1.5e-06
ternary_search,37500,1.2e-06
fib_search,37500,9e-07
interpolation_search,37500,5e-07
linear_search,37000,0.0001186
binary_search,37000,1e-06
ternary_search,37000,6e-07
fib_search,37000,5e-07
interpolation_search,37000,3e-07
linear_search,36500,8.55e-05
binary_search,36500,1.8e-06
